uthkarsh@gmail.com, Blinding Lights, 90, 9, uthkarsh@gmail.com, https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
vihaan@protonmail.jest, Blinding Lights, 52, 5, vihaan@protonmail.jest, https://open.spotify.com/track/02nMYbIiYIzaFA3D3Bkn6W
avyaan@gmail.in, Blinding Lights, 0, 0, avyaan@gmail.in, https://open.spotify.com/track/1RRWwBdmToBw8fkc10Z7RP
navodit@gmail.com, Blinding Lights, 67, 6, navodit@gmail.com, https://open.spotify.com/track/0cQJGoRki2avKVodXEmr0d
bhaavik@gmail.jest, Blinding Lights, 0, 0, bhaavik@gmail.jest, https://open.spotify.com/track/6w7zPSW5zvAsMpU0CKuaN0
adhrit@protonmail.jest, Blinding Lights (with ROSALÍA) - Remix, 60, 6, adhrit@protonmail.jest, https://open.spotify.com/track/7MXgrcOQAJ5VwSNUL0lDd3
reyansh@hotmail.com, blinding lights, 46, 4, reyansh@hotmail.com, https://open.spotify.com/track/59lMFonsVcHZNOvlQvDmlJ
hridaan@hotmail.in, Blinding Lights, 0, 0, hridaan@hotmail.in, https://open.spotify.com/track/4mWcNMhTh3a13x6e5t74cO
lakshay@yandex.com, Blinding Lights, 60, 6, lakshay@yandex.com, https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07
purab@protonmail.in, Blinding Lights - Piano Version, 56, 5, purab@protonmail.in, https://open.spotify.com/track/0ozyv9adSVDED8Emhd8hfu
rudransh@protonmail.com, Guitars Cadillacs, 58, 5, rudransh@protonmail.com, https://open.spotify.com/track/0LATteOxdYq4vXTNZ97r77
dhanuk@protonmail.com, TV, 86, 8, dhanuk@protonmail.com, https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw
samar@gmail.jest, Guitar Cash Shit, 46, 4, samar@gmail.jest, https://open.spotify.com/track/1lR5mvA81b05xTHaUYGhrO
